x,y,z
-1.74191,-2.53793,1.04751
-1.61958,-2.44883,1.1263
-1.62498,-2.64651,1.11203
-1.45518,-2.885,1.21119
-1.42865,-3.12784,1.20274
-1.26654,-3.11899,1.31349
-0.16599,-5.4043,1.89278
-1.16043,-3.72821,1.34307
-1.16979,-3.38765,1.36089
-0.302346,-4.78206,1.85274
-1.01556,-4.0852,1.41383
-0.0238421,-5.26198,1.99922
-1.00066,-3.68431,1.45724
-0.833795,-4.49485,1.50371
-0.573464,-4.36488,1.69555
0.284361,-5.91114,2.15318
0.692517,-6.7382,2.37597
-0.850927,-4.01508,1.53129
0.0691869,-5.22193,2.06743
-0.723127,-4.44794,1.58702
0.368242,-5.82504,2.22889
-0.752648,-3.98493,1.5989
1.31483,-7.52202,2.72073
-0.500115,-4.90945,1.70356
0.814248,-6.52471,2.46945
1.38251,-7.3162,2.76362
1.8199,-7.30189,2.72395
0.945949,-6.39716,2.55961
1.45826,-7.22529,2.84003
3.26634,-10.076,3.88635
1.91791,-7.14793,2.81979
1.56895,-7.22648,2.92369
3.27454,-9.72589,3.879
4.3828,-10.8604,4.35973
9.7775,-16.9926,7.49719
2.02128,-6.98016,2.87129
5.17792,-11.7199,5.03353
3.3489,-9.61523,3.94975
7.29672,-14.3212,6.26736
9.88572,-16.8315,7.56283
6.86711,-14.1157,5.92135
4.47308,-10.6202,4.4388
14.9373,-22.2613,10.386
3.51458,-9.67668,4.05499
7.80692,-14.8557,6.57282
10.2403,-17.1096,7.79026
5.982,-11.9864,5.1525
10.8984,-17.6925,8.11136
23.6579,-23.1305,13.2876
23.87,-22.941,13.1828
24.8929,-21.2279,13.2845
22.805,-24.0579,12.7884
23.9453,-22.6133,12.9268
25.1241,-21.0461,13.1231
21.6313,-16.0498,11.0532
24.3175,-22.326,12.6775
10.5575,-6.76685,5.20059
15.7001,-11.1748,7.56767
10.6661,-6.6838,5.09562
13.8311,-7.62669,6.60249
13.0567,-8.00016,6.00787
8.11705,-3.7856,3.77786
11.2279,-6.61929,4.92873
8.09844,-3.6566,3.62463
7.73348,-3.00095,3.5249
8.02048,-3.99304,3.37096
7.9616,-3.47111,3.40191
7.85929,-2.92912,3.43162
7.98193,-2.50696,3.57934
7.75858,-3.20514,3.13883
8.0856,-2.4104,3.45899
7.11108,-1.73283,3.15013
8.22535,-2.7417,3.22155
5.7001,0.113158,2.49756
7.62701,-2.14097,3.08983
6.46162,-0.254361,2.34486
7.15859,-1.61981,3.01645
6.01512,0.00659131,2.32239
6.42945,-1.12668,2.8248
7.51865,-1.92983,2.86685
5.25748,0.440524,2.31812
6.81656,-1.41608,2.71005
5.87026,0.183484,2.11689
5.50364,0.384987,2.1244
5.95116,-0.649212,2.60343
6.68044,-1.22033,2.49311
4.87047,0.721892,2.1669
5.36787,0.548508,1.93345
6.11417,-0.754723,2.32078
6.2085,-0.276465,2.71364
4.78609,0.850278,2.00278
4.99855,0.78246,1.87345
4.54468,0.972523,2.04854
6.60452,-0.445633,2.56352
4.45525,1.09899,1.89042
4.24336,1.19209,1.94449
6.69324,3.88726,3.4004
4.35586,1.22807,1.72606
4.98174,3.04524,2.19762
4.14893,1.31657,1.79035
4.805,3.08027,2.32796
3.96832,1.38965,1.85549
4.71913,3.1491,2.48775
